mrTRG,afterTRG,T,Did_estimation
2.0,2,1,0.03715046604527376
1.0,2,1,0.03715046604527376
1.5,1,1,0.03715046604527376
1.5,1,1,0.03715046604527376
2.0,0,1,0.03715046604527376
2.0,1,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,0,1,0.03715046604527376
2.0,1,1,0.03715046604527376
1.0,2,1,0.03715046604527376
2.0,1,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,0,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.5,0,1,0.03715046604527376
2.0,0,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
3.0,1,1,0.03715046604527376
3.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,1,1,0.03715046604527376
2.0,0,1,0.03715046604527376
2.0,1,1,0.03715046604527376
3.0,2,1,0.03715046604527376
2.0,1,1,0.03715046604527376
2.0,0,1,0.03715046604527376
2.0,3,1,0.03715046604527376
3.5,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
3.0,2,1,0.03715046604527376
3.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,3,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,3,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,0,1,0.03715046604527376
2.0,3,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,3,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
3.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,0,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
3.0,0,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
3.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
3.0,3,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,0,1,0.03715046604527376
2.0,1,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,1,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
3.0,1,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,0,1,0.03715046604527376
3.0,3,1,0.03715046604527376
2.0,1,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,0,1,0.03715046604527376
2.0,2,1,0.03715046604527376
2.0,1,1,0.03715046604527376
2.0,0,1,0.03715046604527376
2.0,1,1,0.03715046604527376
3.0,2,1,0.03715046604527376
3.0,2,1,0.03715046604527376
2.0,0,1,0.03715046604527376
3.0,3,1,0.03715046604527376
3.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
3.0,2,1,0.03715046604527376
2.0,0,1,0.03715046604527376
3.0,2,1,0.03715046604527376
3.0,2,1,0.03715046604527376
3.0,0,1,0.03715046604527376
3.0,2,1,0.03715046604527376
3.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
3.0,2,1,0.03715046604527376
2.0,2,1,0.03715046604527376
